CATAGORIES,,FOOD PRODUCT,H.H. MEASUREMENTS               ,please enter,Enter here,serving size,PROTEIN gs.,FAT  gs.,carbs,Kcal,FIBRE gs.,CALCIUMmg,IRON mg.
,194,"Figs, fresh (Anjeer)",1 anjeer (fresh) = 44 gm,no. of anjeer,2,88.0,1.1,0.2,7,33,1.9,70.4,0.9
,195,Grapes(Angoor),1/2 cup = 93 gms,No. of cups,0.5,93.0,0.5,0.3,15,66,2.7,18.6,0.5
,196,Guava,1 gauva = 120 gms,no. of gauvas,1,120.0,1.1,0.4,13,61,6.2,12.0,0.3
,197,"Jambu Fruit,(Kala jamun)",,gms (raw wt),80,80.0,0.6,0.2,11,50,0.7,12.0,0.3
,198,Lemon,1 tbsp juice=10g=1 lemon,No. of tbsp,1,10.0,0.1,0.1,1,6,,,
,199,Litchi,1 litchi=12 gms pulp; whole=20 gms,No. of litchi,7,84.0,0.9,0.2,11,51,0.4,8.4,0.6
,200,"Mango , ripe",1 med mango = 70 gms,No. of mangoes,1,70.0,0.4,0.3,12,52,0.5,9.8,0.9
,201,Mulberry,,gms (raw wt),100,100.0,1.0,0.0,10,49,1.0,70.0,2.0
,202,"Muskmelon, cubed",3/4 th cup = 98 gms,No. of cups,2,262.0,0.8,0.5,9,45,1.0,83.8,3.7
,203,Orange,1 med orange = 128 gm,No. of orange,1,128.0,0.2,0.3,14,61,0.4,33.3,0.4
,204,"Palmyra fruit, tender",,gms (raw wt),100,100.0,1.0,0.0,7,29,0.0,10.0,1.0
,205,"Papaya, ripe",3/4 th cup = 88 gms,no. of cups,0.25,29.3,0.2,0.0,2,9,0.2,5.0,0.1
,206,Peaches,1 med peach whole = 100 gm,no. of peaches,1,100.0,1.2,0.3,11,50,1.2,15.0,2.4
,207,Pears,1 med pear =150 gms,No. of pears,1,150.0,0.9,0.3,18,78,1.5,12.0,0.8
,208,Phalsa,,gms (raw wt),100,100.0,1.0,1.0,15,72,1.0,129.0,3.0
,209,Pine Apple,1 slice = 20 gms,No. of slices,5,100.0,0.4,0.1,11,46,0.5,20.0,2.4
,210,Plum,1 med plum whole = 60 gms,no. of plums,2,120.0,0.8,0.6,13,62,0.5,12.0,0.7
,211,Pomegranate,1/2 cup = 70 gms,No. of cups,0.5,70.0,1.1,0.1,10,46,3.6,7.0,1.3
,212,Raisins,10 pcs = 5 gms,No. of raisins,30,15.0,0.3,0.0,11,46,,,
,213,Raspberry,,gms (raw wt),100,100.0,1.0,1.0,12,56,1.0,40.0,20.0
,214,Seethaphal(Custardapple),1 med = 75 gms deseeded,No. of custard apple,1,75.0,1.2,0.3,18,78,2.3,12.8,3.2
,215,Strawberry,1 med strawberry =12 gms,No. of strawberries,9,108.0,0.8,0.2,11,48,1.2,32.4,1.9
,216,Sweet lime (musambi),1 medium = 126 gms,No. of sweet lime,1,126.0,1.0,0.4,12,54,0.6,50.4,0.9
,217,"Watermelon, cubed",1 cup = 75 gms,No. of cups,4,300.0,0.6,0.6,10,48,0.6,33.0,23.7
FISHES & SEA FOOD,218,Air,,gms,80,80.0,12.8,0.8,3,71,0.0,304.0,0.8
,219,Anchovy,,gms,80,80.0,15.4,7.7,0,131,0.0,114.4,1.2
,220,"Bombay Duck, dried",,gms,80,80.0,49.4,3.2,2,234,0.0,1111.2,15.3
,221,"Crab, muscle",,gms,80,80.0,7.1,0.9,3,47,0.0,1096.0,17.0
,222,"Crab, small",,gms,80,80.0,9.0,7.8,7,135,0.0,1284.8,0.0
,223,Hilsa,,gms,80,80.0,17.6,15.2,2,218,0.0,144.0,1.6
,224,Lobster,,gms,80,80.0,16.4,0.7,0,72,0.0,12.8,0.0
,225,Mackerel(Bangra),,gms,80,80.0,15.1,1.4,0,74,0.0,343.2,3.6
,226,"Mushi , dried",,gms,80,80.0,53.6,3.9,0,250,0.0,432.8,2.2
,227,"Pomfrets, black",,gms,80,80.0,16.2,2.1,1,89,0.0,228.8,1.8
,228,"Pomfrets, white",,gms,80,80.0,13.6,1.0,0,70,0.0,160.0,0.7
,229,Prawns,,gms,80,80.0,15.3,0.8,1,71,0.0,258.4,4.2
,230,Ravas,,gms,80,80.0,17.8,0.9,3,90,0.0,324.0,1.6
,231,Rohu,,gms,80,80.0,13.3,1.1,4,78,0.0,520.0,0.8
,232,Sardine,,gms,80,80.0,16.8,1.5,0,81,0.0,72.0,2.0
,233,Shark,,gms,80,80.0,17.3,0.3,1,74,0.0,285.6,1.1
,234,"Shrimp (small,dried)",,gms,80,80.0,54.5,6.8,0,279,0.0,3507.2,0.0
,235,"Surmai, fresh",,gms,80,80.0,15.9,1.1,0,74,0.0,73.6,1.6
,236,"Surmai, dried",,gms,80,80.0,30.9,5.0,0,168,0.0,118.4,3.5
,237,Tuna (canned),,gms,80,80.0,28.2,0.9,0,127,,16.0,0.6
MEAT AND POULTRY,238,Bacon,1/2 tbsp=10g/3 slices=19g,gms,20,20.0,6.3,9.5,0,116,,2.1,0.3
,239,"Beef, cooked",,gms,20,20.0,5.2,6.1,0,76,,2.6,
,240,Chicken,,gms,40,40.0,7.3,6.9,,97,,,
,241,"Egg, duck",,gms,30,30.0,,,,,,,
,242,"Egg, hen",,gms,20,20.0,,,,,,,
,243,Egg Whites,1 egg white = 33 gms,No. of egg white,1,1.0,3.0,0.0,0,15,,4.0,
,244,Egg Yolk,1 egg yolk = 17 gms,No. of egg yolk,1,1.0,3.0,6.0,,65,,26.0,
,245,Finch,,gms,50,50.0,13.3,1.5,0,67,0.0,45.0,0.0
,246,Fowl(hen),,gms,50,50.0,13.0,0.3,0.0,55,0.0,12.5,0.0
,247,Goat Meat (lean),,gms,50,50.0,10.7,1.8,0.0,59,0.0,6.0,0.0
,248,Liver Goat,,gms,50,50.0,10.0,1.5,0.0,54,0.0,8.5,0.0
,249,"Mutton, muscle",,gms,100,100.0,18.5,13.3,0,194,0.0,150.0,2.5
,250,Pork,,gms,100,100.0,18.7,4.4,0,114,0.0,30.0,2.2
DAIRY,251,Amul lite Slim n trim milk,99.7 % fat free,ml,100,100.0,3.5,0.2,5,35,,150.0,
,,Amul taaza toned milk (3 % fat),,ml,100,100.0,3.1,3.0,5,58,,150.0,
,252,Britannia cheese spread low-fat ,,gm,15,15.0,2.0,1.8,1,29,,60.0,
,253,Britannia - cheese slice,1 slice = 20 gms, no. of slice,1,1.0,3.4,5.0,1,62,,112.8,
,254,Britannia - low fat cheese slice,1 slice = 20 gms, no. of slice,1,1.0,4.0,3.0,1,45,,3.0,
,255,Brittania Cheese spread,1 tbsp = 20Gm,No. of tbsp,1,20.0,2.3,4.4,0,50,,,
,256,Brittania Daily fresh dahi (3 % fat),,gms,100,100.0,3.1,3.0,6,64,,,
,257,Cream cheese (laughin cow),,gms,15,15.0,1.3,5.0,1,51,,,
,258,Cheese spread (amul),,gms,15,15.0,1.7,3.0,,41,,,
,259,Curds(cow's milk),,ml,100,100.0,3.1,4.0,3,60,,149.0,0.2
,260,Danone Dahi (3.5 % fat),,ml,100,100.0,3.5,3.5,6,68,,,
,261,Double Toned Milk (1.5% fat),,ml,100,100.0,3.3,1.5,5,47,,120.0,
,262,Everyday dairy whitener,1 tbsp=5 gms,no. of tbsp,1,5.0,1.0,1.0,3,23,,,
,263,Feta,,gm,5,5.0,0.7,0.9,0,11,,,
,264,Happy cow cheese (low fat 8%),in cubes (1 cube=17.5 g),No. of cubes,1,1.0,3.1,1.5,1,29,,110.0,
,265,"Kraft cream cheese, low-fat",1 tbsp =15 Gm,No. of tbsp,1,15.0,1.0,2.9,1,34,,,
,266,Milk buffalo's (6.5 % fat),,ml,100,100.0,,6.5,5,117,,210.0,0.2
,267,Milk cow's (4 % fat),,ml,800,800.0,25.6,32.8,35,536,,960.0,1.6
,268,Mozarella cheese,,gms,20,20.0,4.4,4.5,0,60,,,
,269,"Nestle flavored yogurt, low-fat",,gms,100,100.0,3.5,1.5,16,90,,,
,270,Nestle nesvita pro-heart milk,(2 % fat),ml,100,100.0,2.9,1.6,5,46,,,
,271,Nestle Slim Dahi (1.5 % fat),,ml,100,100.0,4.1,1.5,6,54,,,
,272,Nestle slim milk,(0.2 % fat),ml,100,100.0,2.8,0.2,5,33,,93.0,
,273,Nestle toned milk (3 % fat),,ml,100,100.0,2.8,3.0,5,57,,,
,274,Paneer (made from cows milk),,paneer in gms,100,100.0,18.0,21.0,1,265,,,
,275,paneer (regular),,paneer in cups,0.25,0.3,16.0,20.0,22,335,,,
,276,paneer (low-fat),,paneer in cups,0.25,0.3,16.0,0.5,22,165,,,
,277,Parmesan cheese,,gms,15,15.0,6.0,6.0,0,75,,207.0,0.0
,278,Silken tofu,,gms,100,100.0,7.1,2.4,2,54,,,
,279,"Skimmed Milk,liquid",,ml,100,100.0,2.5,0.1,5,29,,120.0,0.2
,280,Skimmed Milk Powder(Cow's milk),,gms,10,10.0,3.8,0.01,5.1,36,,137,0.14
,281,Skimmed milk/low fat milk/curd,(0.1 % fat),ml,100,100.0,2.5,0.1,5,29,,,
,282,soyafit soya milk/curd,,ml,100,100.0,3.2,1.6,2,35,1.0,,
,283,Tofu (Soya paneer),,gms,100,100.0,13.8,5.0,4,117,2.3,310.0,
FATS & EDIBLE OILS,284,Amul butter,,no. of tspn,1,5.0,0.0,4.0,0,36,,,
,285,Amul lite bread spread,,gms,5,5.0,,3.5,0,32,,,
,286,Butter,1 tspn = 5 gms,no. of tspn,1,5.0,,4.1,,36,,,
,287,"Cooking Oil (Groundnut, Sunflower, Ricebran, safflower, Mustard, Coconut etc.)",1 tspn = 4 gms,no. of tspn,1,4.0,,4.0,,36,,,
,288,Ghee (Cow),1 tspn = 5 gms,no. of tspn,1,5.0,,5.0,,45,,,
,289,Honey,1 tspn = 6 gms,no. of tspn,1,6.0,0.0,,5,19,,0.3,0.0
,290,Jaggery ,,gms,5,5.0,0.0,0.0,5,19,,4.0,0.1
,291,Mayonnaise,1 tbsp=14 g,No. of tbsp,1,14.0,0.0,11.0,0,100,,3.0,0.1
,292,Mayonnaise fat-free,1 tbsp =10 gms,No. of tbsp,1,10.0,0.0,0.1,2,12,,,
,293,Olive oil,1 tspn = 4 gms,no. of tspn,1,4.0,0.0,4.0,0,35,,,
,294,Sago (sabudana),,gms,5,5.0,0.0,0.0,4,18,,0.5,0.1
,295,Sugar,in tspn (1tsp=5g),no. of tspn,1,1.0,0.0,0.0,5,20,,0.0,
,296,Sugarcane,,gms,50,50.0,0,,50,199,,6,0
DESSERTS,297,Apple pie,1 slice,No. of slice,1,1.0,,,,280,,,
,298,Brownie with icecream,1 serving,No. of serving,1,1.0,,,,960,,,
,299,Cashewnut barfi,,No. of barfis,1,1.0,,11.0,,186,,,
,300,Cheese cake,1 slice,No. of slice,1,1.0,,,,730,,,
,301,"Chocochip icecream, Baskin robbins",1 scoop,No. of scoop,1,1.0,,,,270,,,
,302,Chocolate icecream,,scoops,1,1.0,,15.0,,306,,,
,303,Chocolate mousse,,cups,1,1.0,,29.3,,559,,,
,304,Chocolate pastry,,No. of pcs,1,1.0,,15.0,,310,,,
,305,"Donut, choco frosted",1,No. of donuts,1,1.0,,,,204,,,
,306,"Frozen Yogurt, low-fat (180 gms)",1 cup,No. of cups,1,1.0,6.0,3.6,45,234,,,
,307,Gulab Jamun,,No. of gulabjamuns,1,1.0,,7.0,,152,,,
,308,Haldirams Rasgulla,1 small = 25 gm,No. of rasgullas,2,50.0,4.3,2.0,26,125,0.4,350.0,
,309,Muffin,1,No.of muffins,1,1.0,,,,450,,,
,310,Oreo McFlurry (Mc Donald's),1 serving,No. of srvgs,1,1.0,14.0,16.0,88,560,,,
,311,Rasgulla,1 medium,No. of rasgullas,1,1.0,,,,152,,,
,312,"TGI Friday""s Brownie Sundae",1 serving,No. of srvgs,1,1.0,9.0,55.0,48,960,,,
CHIPS/CRISPS,313,Baked potato chips (selfcare),one serving -25 g,No. of serving,1,1.0,2.6,0.4,19,90,,,
,314,Lay's baked classic salted,"1 chip=1 gm, 1 small pack=31 gm",No. of chips,27,27.0,2.0,4.2,20,124,,,
,315,Lay's classic salted,"1 chip=1 gm, 1 small pack = 27 gm",No. of chips,27,27.0,1.9,9.6,14,150,,,
,316,Pepe,1 chip=1 gm,No. of chips,2,2.0,0.2,0.6,1,11,,,
,317,Peppy,"1 chip =  0.5 Gm, 1 small pack = 23 gm",No. of chips,27,13.5,1.1,3.6,8,68,1.0,,
,318,"Popcorn, salted",1 cup = 8 gms,No. of cups,2,16.0,0.8,4.5,10,83,,,
,319,Pringles Original,1 chip=2 gm,No. of chips,14,28.0,1.0,11.0,14,160,,,
CHOCOLATES,320,5- Star,1 bar = 32 gm,No. of bars,1,32.0,1.2,5.1,23,141,,,
,321,Dairy Milk ,1 bar=95 gm,No. of bars,1,95.0,7.5,26.5,57,495,,,
,322,Dairy Milk fruit n nut,1 bar=80 gm,No. of bars,1,80.0,7.0,21.5,45,402,,,
,323,Granola bar (Nature valley),1 bar = 30 gm,No. of bars,1,30.0,1.4,1.5,26,123,1.9,,
,324,Kit-Kat (2 fingers),1 bar=2 fingers=16.5 gm,No. of bars,1,16.5,1.1,4.1,8,73,,,
,325,Mars,1 bar=50 gm,No. of bars,1,50.0,1.9,8.8,35,226,,,
,326,Perk( 1 small 5 rs),1 bar=16 gm,No. of bars,1,16.0,1.0,4.0,10,80,,,
,327,Snickers,1 bar=32 gm,No. of bars,1,32.0,2.9,8.9,18,163,,,
,328,Twix,1 bar = 58 gm (2 fingers),No. of bars,1,58.0,2.8,14.0,37,285,0.9,,
BEVERAGES (Milk),329,Boost,1 tbsp = 10 gm,No. of tbsp,1,10.0,0.8,0.4,8,39,,,
,330,Bournvita,1 tbsp = 10 gm,No. of tbsp,1,10.0,0.7,0.2,8,38,,10.0,1.8
,331,Complan,1 tbsp = 10 gm,No. of tbsp,1,10.0,1.8,1.1,6,42,,80.0,1.4
,332,Horlicks,1 tbsp = 10 gm,No. of tbsp,1,10.0,,,,39,,74.1,2.6
,333,Horlicks Lite,1 tbsp = 10 gm,No. of tbsp,1,10.0,,,,35,,,
,334,Proteinix,1 tbsp = 10 gm,No. of tbsp,1,10.0,3.2,,,30,,,
,335,Women's Horlicks,1 tbsp = 10 gm,No. of tbsp,1,10.0,,0.2,7,36,,,
ALCOHOL,336,Beer ,1 Bottle = 300 gm,No. of bottle,1,1.0,,,,150,,,
,337,Gin,1 small peg = 30 ml,No. of small pegs,2,2.0,,,,133,,,
,338,Kingfisher light beer,1 Bottle = 330 ml,No. of bottle,1,1.0,,,,99,,,
,339,Kingfisher Premium beer,1 Bottle = 330 ml,No. of bottle,1,1.0,,,,180,,,
,340,Kingfisher strong beer,1 Bottle = 330 ml,No. of bottle,1,1.0,,,,216,,,
,341,Light,,No. of bottle,1,1.0,,,,83,,,
,342,Near Beer,,No. of bottle,1,1.0,,,,50,,,
,343,Red wine or Rose,,ml,100,100.0,,,,71,,,
,344,Regular ,,No. of bottle,1,1.0,,,,125,,,
,345,Rum,1 small peg = 30 ml,No. of small pegs,2,2.0,,,,133,,,
,346,Scotch,1 small peg = 30 ml,No. of small pegs,2,2.0,,,,133,,,
,347,Sprakling wine- champagne,,ml,100,100.0,,,,83,,,
,348,Vodka,1 small peg = 30 ml,No. of small pegs,2,2.0,,,,133,,,
,349,Whiskey,1 small peg = 30 ml,No. of small pegs,2,2.0,,,,133,,,
,350,White wine,,ml,100,100.0,,,,67,,,
,351,Wine (average),,ml,100,100.0,,,,88,,,
COCKTAILS,352,Bloody Mary,1 drink = 150 ml,No. of drinks,1,1.0,,,,116,,,
,353,Cosmopolitan,1 drink = 90 ml,No. of drinks,1,1.0,,,,196,,,
,354,Daiquiri,1 drink = 60 ml,No. of drinks,1,1.0,,,,111,,,
,355,Dry Barandy- cognac,1 drink = 150 ml,No. of drinks,1,1.0,,,,375,,,
,356,Long island Iced Tea,1 drink = 240 ml,No. of drinks,1,1.0,,,,440,,,
,357,Margarita/Caprioska,1 drink = 150 ml,No. of drinks,1,1.0,,,,310,,,
,358,Martini,1 drink = 150 ml,No. of drinks,1,1.0,,,,312,,,
,359,Mojito,1 drink = 150 ml,No. of drinks,1,1.0,,,,102,,,
,360,Triple sec,Alcohol=8.5 gm in 30 ml,ml,60,60.0,0.0,0.0,22,206,,,
SOFT DRINKS,361,Coke ,1 Bottle = 300 ml,No. of bottles,1,1.0,0.0,0.0,33,126,,,
,362,Coke- diet,1 Bottle = 300 ml,No. of bottles,1,1.0,0.0,0.0,0,1,,,
,363,Fanta/Mirinda,1 Bottle = 300 ml,No. of bottles,1,1.0,,,,141,,,
,364,Limca,1 Bottle = 300 ml,No. of bottles,1,1.0,,,,150,,,
,365,Pepsi,1 Bottle = 300 ml,No. of bottles,1,1.0,,,,131,,,
,366,Pepsi- can,1 can = 330 ml,No. of cans,1,1.0,,,,144,,,
,367,Sprite,1 Bottle = 300 ml,No. of bottles,1,1.0,,,35,144,,,
JUICES,368,Appy,1 tetra pack = 200 ml,No. of packs,1,1.0,1.0,0.4,33,134,,,
,369,Frooti,1 tetra pack = 200 ml,No. of packs,1,1.0,,,32,130,,,
,370,Real - Guava Juice,1 tetra pack = 200 ml,No. of packs,1,1.0,2.0,0.0,30,120,,,
,371,Real - Orange Juice,1 tetra pack = 200 ml,No. of packs,1,1.0,2.0,0.0,26,112,,,
,372,Real Activ- Orange carrot juice,1 tetra pack = 200 ml,No. of packs,1,1.0,0.0,0.0,24,96,,,
,373,Real Activ-Apple juice,1 tetra pack = 200 ml,No. of packs,1,1.0,1.0,0.0,22,88,,,
,374,Real cranberry juice,1 glass = 200 ml,No. of glass,1,200.0,0.2,0.0,30,120,,20.0,0.6
,375,Real-Mixed fruit juice,1 tetra pack = 200 ml,No. of packs,1,1.0,2.0,0.0,26,112,,,
,376,Real-Sweet lime juice,1 tetra pack = 200 ml,No. of packs,1,1.0,2.0,0.0,28,112,,,
,377,Tropicana juice- Apple,1 tetra pack = 200 ml,No. of packs,1,1.0,0.8,0.0,22,94,,,
,378,Tropicana juice- Guava Nectar,1 tetra pack = 200 ml,No. of packs,1,1.0,0.0,0.0,36,150,,,
,379,Tropicana Juice-Mix fruit,1 tetra pack = 200 ml,No. of packs,1,1.0,0.0,0.0,27.4,112,,,
,380,Tropicana Juice-Orange,1 tetra pack = 200 ml,No. of packs,1,1.0,2.0,0.0,22,100,,,
BEVERAGES,381,Amul kool lassi,1 tetra pack = 200 ml,No. of packs,1,1.0,4.0,4.2,26.0,158,,148.0,
,382,Amul Lassi(sweet),1 tetra pack = 200 ml,No. of packs,1,1.0,4.5,6.0,20.0,150,,224.0,
,383,Amul masti spiced buttermillkk,1 tetra pack = 200 ml,No. of packs,1,1.0,4.0,3.4,4.0,62,,150.0,
,384,Buttermilk(salted) ,1 glass = 200 ml,No. of glass,1,1.0,3.0,4.0,3.0,60,,149.0,
,385,Coconut water,1 glass = 200 ml,No. of glass,1,1.0,3.0,0.0,9.0,48,,48.0,
,386,Gatorade,1 glass = 200 ml,No. of glass,1,1.0,0.0,0.0,7.2,48,,,
,387,lipton ice tea green tea,1 pet bottle =350 ml,No. of bottles,1,350.0,0.0,0.0,0.0,112,,,
,388,Milkshake with fruit,1 glass = 200 ml,No. of glass,1,1.0,5.0,7.0,23.0,186,,224.0,
,389,Red Bull,1 glass = 200 ml,No. of glass,1,200.0,0.0,0.0,22,90,,,
,390,Sweetened lime water,1 glass = 200 ml,No. of glass,1,1.0,0.0,0.0,10.0,42,,223.0,
,391,Tang orange,1 glass = 200 ml,No. of glass,1,1.0,0.0,0.0,23.5,97,,,
,392,Tonic water,,ml,150,150.0,,,,54,,,
FAST FOOD,393,Domino's Cheese-burst pizza,6-inch,No. of pizza,1,1.0,21.0,22.0,35,422,,,
,394,"Domino's Deluxe (12 "")",1 slice,No. of slice,1,1.0,7.0,12.0,16,196,,,
,395,Domino's Garlic bread, 1 slice,No. of slice,1,1.0,4.7,3.6,16,117,,,
,396,Domino's Pan pizza,6-inch,No. of pizza,1,1.0,23.0,28.0,68,598,,,
,397,"Domino's Thin-crust Margerita (10"")",1 slice,No. of slice,1,1.0,6.0,3.0,28,160,,,
,398,KFC Popcorn Chicken,1 serving,no. of servings,1,1.0,22.0,26.0,18,400,,,
,399,KFC Potato wedges,100 gms,gms,1,1.0,4.0,13.0,33,260,,,
,400,KFC Zinger Burger,1,no. of burgers,1,1.0,24.0,18.5,41,446,,,
,401,Maggi Masala noodles,1 medium pack = 80 gms,No. of packets,1,80.0,7.4,11.4,49.28,330,,,
,402,Maggi Veg Multigrainz noodles,1 medium pack = 80 gms,No. of packets,1,80.0,7.6,11.1,51.2,336,3.8,99.2,
,403,Maggi Vegetable  atta noodles,1 medium pack = 80 gms,No. of packets,1,80.0,8.2,10.7,51.04,342,4.2,,
,404,Mc Donald's French Fries,Regular,No. of regular packs,1,1.0,4.5,15.5,41,319,,,
,405,Mc Spicy Chicken wrap,1,No. of wraps,1,1.0,22.0,23.0,48,488,,,
,406,McAloo Tikki Burger,1,No. of burgers,1,1.0,8.2,13.6,46,337,,,
,407,McChicken Burger,1,No. of burgers,1,1.0,15.3,21.4,41,416,,,
,408,McChicken Nuggets,4 pcs,No. of pcs,1,1.0,2.7,3.0,3,49,,,
,409,McSpicy Paneer Wrap,1,No. of wraps,1,1.0,26.0,47.0,53,740,,,
,410,McVeggie Burger,1,No. of burgers,1,1.0,11.9,23.9,51,465,,,
